Product Name,Brand,Operating System,Price,Discount,Review,Ratings,Description
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",OnePlus,OxygenOS,"42,999.00",-0.07,4.3,"3,579",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   16 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",OnePlus,OxygenOS,"42,999.00",-0.07,4.3,"3,579",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   16 GB     CPU Model   Snapdragon     Memory Storage Capacity   256 GB
"Redmi Note 13 5G (Chromatic Purple, 6GB RAM, 128GB Storage)",Redmi,Android,"14,660.00",-0.30,3.7,"5,287","Brand   Redmi     Operating System   Android 13, MIUI 14     RAM Memory Installed Size   6 GB     CPU Model   Cortex     CPU Speed   2 GHz"
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",Samsung,Android,"6,499.00",-0.35,3.8,154,Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   4 GB     CPU Model   MediaTek Helio     CPU Speed   2 GHz
Apple iPhone 13 (128GB) - Starlight,Apple,iOS,"43,999.00",-0.26,4.5,"30,031",Brand   Apple     Operating System   iOS 14     Memory Storage Capacity   128 GB     Screen Size   6.1 Inches     Resolution   4K
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)",OnePlus,OxygenOS,"19,998.00",-0.05,4.1,"2,304",Brand   OnePlus     Operating System   OxygenOS     RAM Memory Installed Size   8 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",Samsung,Android,"6,499.00",-0.35,3.8,154,Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   4 GB     CPU Model   MediaTek Helio     CPU Speed   2 GHz
Apple iPhone 13 (128GB) - Midnight,Apple,iOS,"43,999.00",-0.26,4.5,"30,031",Brand   Apple     Operating System   iOS 14     CPU Speed   3.23 GHz     Memory Storage Capacity   128 GB     Screen Size   6.1 Inches
"realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box",realme,Android,"12,498.00",-0.31,4,"2,419",Brand   realme     Operating System   Android 14     RAM Memory Installed Size   6 GB     CPU Model   Snapdragon     Memory Storage Capacity   128 GB
"Redmi 13C 5G (Startrail Silver, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",Redmi,MIUI,"8,999.00",-0.36,3.9,"8,650","Brand   Redmi     Operating System   MIUI 14, Android 13.0     RAM Memory Installed Size   4 GB     CPU Model   MediaTek Helio     Memory Storage Capacity   128 GB"
"Samsung Galaxy M35 5G (Moonlight Blue,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",Samsung,Android,"15,499.00",-0.37,4.1,"2,725",Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   6 GB     CPU Model   Snapdragon     CPU Speed   2.4 GHz
"Samsung Galaxy M35 5G (Daybreak Blue,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",Samsung,Android,"14,999.00",-0.39,4.1,"2,725",Brand   Samsung     Operating System   Android 14     RAM Memory Installed Size   6 GB     CPU Model   Snapdragon     CPU Speed   2.4 GHz
